Time,Value
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.13
"
,"0.12
"
,"0.08
"
,"0.10
"
,"0.09
"
,"0.15
"
,"0.19
"
,"0.20
"
,"0.38
"
,"0.40
"
,"0.00
"
,"0.46
"
,"0.16
"
,"0.30
"
,"0.23
"
,"0.19
"
,"0.01
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.14
"
,"0.08
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.08
"
,"0.12
"
,"0.17
"
,"0.12
"
,"0.04
"
,"0.03
"
,"0.04
"
,"0.05
"
,"0.01
"
,"0.33
"
,"0.22
"
,"0.11
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
7,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.04
"
,"0.02
"
,"0.01
"
,"0.00
"
,"0.02
"
,"0.05
"
,"0.06
"
,"0.14
"
,"0.18
"
,"0.34
"
,"0.39
"
,"0.00
"
,"0.56
"
,"0.53
"
,"0.09
"
,"0.43
"
,"0.36
"
,"0.14
"
,"0.06
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.12
"
,"0.09
"
,"0.05
"
,"0.13
"
,"0.16
"
,"0.22
"
,"0.03
"
,"0.37
"
,"0.00
"
,"0.54
"
,"0.15
"
,"0.40
"
,"0.29
"
,"0.00
"
,"0.02
"
,"0.16
"
,"0.04
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
