Name,Time,Value
,,0
,,1
,,2
,,5
,,0
,,2
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,0
,,7
,,5
Tavian,2013-07-23 10-31-17.379,
,,0
,,4
,,0
,,4
,,1
,,4
,,7
,,39
,,12
,,32
,,48
,,33
,,31
,,8
,,40
,,1
,,34
,,1
,,0
,,0
,,0
,,3
,,8
,,16
,,0
,,16
,,16
,,24
,,2
,,0
,,8
,,31
,,18
,,32
,,64
,,44
,,48
,,32
,,10
,,0
,,0
,,16
,,32
,,43
,,43
,,26
,,44
,,63
,,16
,,21
,,47
,,72
,,32
,,20
,,8
,,0
,,20
,,20
,,17
,,31
,,16
,,8
,,7
,,16
,,18
,,0
,,16
,,96
,,43
,,0
,,0
,,0
,,0
,,7
,,8
,,4
,,40
,,64
,,16
,,26
,,20
,,64
,,24
,,1
,,3
,,0
,,0
,,0
,,7
,,0
,,0
,,0
,,0
,,18
,,0
,,0
,,10
,,0
,,0
,,0
,,16
,,0
,,0
,,12
,,3
,,15
,,8
,,0
,,16
,,0
,,4
,,0
,,7
,,15
,,3
,,14
,,0
,,0
,,12
,,0
,,0
,,7
,,0
,,12
,,0
,,12
,,12
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,10
,,10
,,0
,,10
,,0
,,0
,,20
,,20
,,20
,,24
,,0
,,12
,,16
,,20
,,2
,,8
,,16
,,16
,,40
,,16
,,11
,,8
,,0
,,12
,,7
,,0
,,3
,,12
,,0
,,0
,,0
Tavian,2013-07-23 10-33-01.647,
,,0
,,0
,,0
,,15
,,0
,,10
,,0
,,32
,,32
,,4
,,2
,,0
,,0
,,20
,,12
,,0
,,1
,,24
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
Tavian,2013-07-23 10-33-34.860,
,,0
,,7
,,0
,,0
,,24
,,0
,,28
,,15
,,24
,,0
,,20
,,0
,,15
,,0
,,30
,,31
,,8
,,20
,,41
,,20
,,36
,,16
,,16
,,8
,,1
,,4
,,16
,,58
,,26
,,24
,,18
,,4
,,16
,,15
,,4
,,0
,,0
,,0
,,0
,,4
,,4
,,53
,,44
,,0
,,40
,,32
,,42
,,0
,,4
,,0
,,0
,,0
,,0
,,23
,,47
,,12
,,0
,,0
,,8
,,16
,,20
,,0
,,8
,,28
,,8
,,31
,,21
,,0
,,0
,,28
,,0
,,0
,,0
,,3
,,0
,,0
,,0
Tavian,2013-07-23 10-36-08.775,
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
