Name,Time,Value
,,38
,,39
,,44
,,16
,,0
,,0
,,8
,,0
,,3
,,4
,,64
,,24
,,32
,,20
,,64
,,96
,,59
,,72
,,100
,,40
,,42
,,47
,,0
,,0
,,3
,,8
,,8
,,0
,,24
,,31
,,88
,,47
,,20
,,8
,,0
,,10
,,1
,,0
,,3
,,24
,,52
,,39
,,48
,,10
,,12
,,0
,,31
,,11
,,4
,,0
,,0
,,34
,,88
,,91
,,108
,,58
,,96
,,96
,,65
,,84
,,72
,,76
,,90
,,127
,,95
,,156
,,127
,,159
,,136
,,129
,,48
,,66
,,52
,,52
,,0
,,0
,,0
,,0
,,16
,,66
,,114
,,88
,,88
,,84
,,55
,,41
,,36
,,20
,,72
,,27
,,8
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,3
,,24
,,1
,,0
,,24
,,3
,,0
,,24
,,0
,,0
,,0
Melissa,2013-07-23 10-32-39.304,
,,15
,,12
,,16
,,52
,,36
,,36
,,48
,,56
,,32
,,0
,,24
,,56
,,64
,,68
,,96
,,36
,,0
,,0
,,0
,,1
,,0
,,32
,,15
,,8
,,0
,,0
,,0
,,1
,,1
,,26
,,0
,,0
,,0
,,0
,,0
,,1
,,0
,,15
,,0
,,0
,,0
,,0
,,0
,,0
,,7
,,7
,,0
,,0
,,0
,,20
,,0
,,1
,,0
,,0
,,20
,,15
,,0
,,20
,,0
,,16
,,3
,,0
,,15
,,1
,,0
,,0
,,0
,,16
,,0
,,0
,,16
,,0
,,16
,,1
,,0
,,0
,,0
,,15
,,16
,,0
,,0
,,16
,,0
,,14
,,3
,,0
,,3
,,1
,,0
,,0
,,4
,,12
,,12
,,0
,,0
,,0
,,12
,,3
,,12
,,0
,,12
,,3
,,3
,,0
,,0
,,0
,,0
,,10
,,8
,,7
,,8
,,8
,,0
,,8
,,1
,,0
,,0
,,8
,,0
,,0
,,0
,,0
,,1
,,0
,,16
,,8
,,0
,,20
,,22
,,40
,,64
,,48
,,36
,,0
,,0
,,39
,,16
,,0
,,24
,,8
,,8
,,8
,,0
,,0
,,10
,,0
,,39
,,30
,,48
,,34
,,32
,,37
,,26
,,44
,,56
,,48
,,24
,,0
,,3
,,0
,,0
